date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:59:25	109/109	---M-Z	200	added ('OK')	text/plain	date:Sun,%2012%20Jun%202022%2004:39:37%20GMT	https://bio-portal.online/robots.txt		(from )
01:59:27	41091/41091	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jun%202022%2004:59:26%20GMT	https://bio-portal.online/vsl-vr-b-hg/	//Mac/Home/Downloads/vl%20espanhol/bio-portal.online/vsl-vr-b-hg/index.html	(from )
01:59:28	88870/88870	---M-Z	200	added ('OK')	text/css	etag:%2215b26-628dcd89-60029a;gz%22	https://grupoltz.com/wp-includes/css/dist/block-library/style.min.css?ver=f04459ee65dff687292ca05167d6f071	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-includes/css/dist/block-library/style.min904c.css	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:28	5854/5854	---M-Z	200	added ('OK')	text/css	etag:%2216de-61e708be-60069d;gz%22	https://grupoltz.com/wp-content/themes/hello-elementor/style.min.css?ver=2.4.2	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/themes/hello-elementor/style.mina305.css	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:28	15164/15164	---M-Z	200	added ('OK')	text/css	etag:%223b3c-61e708be-600717;gz%22	https://grupoltz.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.4.2	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/themes/hello-elementor/theme.mina305.css	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:28	19128/19128	---M-Z	200	added ('OK')	text/css	etag:%224ab8-6294e28f-60102d;gz%22	https://grupoltz.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:29	163326/163326	---M-Z	200	added ('OK')	text/css	etag:%2227dfe-6294e28f-62009d;gz%22	https://grupoltz.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.6.5	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor/assets/css/frontend.min3ab2.css	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:29	1474/1474	---MCZ	200	added ('OK')	text/css	etag:W/%225d2-6294e2ae-660011;gz%22	https://grupoltz.com/wp-content/uploads/elementor/css/post-7.css?ver=1653924526	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/uploads/elementor/css/post-7108b.css	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:30	328504/328504	---M-Z	200	added ('OK')	text/css	etag:%2250338-61e6ed74-600a48;gz%22	https://grupoltz.com/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.5.1	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/plugins/elementor-pro/assets/css/frontend.min9d52.css	(from https://bio-portal.online/vsl-vr-b-hg/)
01:59:30	38506/38506	---MCZ	200	added ('OK')	text/css	etag:W/%229825-6294e2af-660013;gz%22	https://grupoltz.com/wp-content/uploads/elementor/css/global.css?ver=1653924527	//Mac/Home/Downloads/vl%20espanhol/grupoltz.com/wp-content/uploads/elementor/css/globalbc1b.css	(from https://bio-portal.online/vsl-vr-b-hg/)
